Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,SHAP_Importance,Correlation_With_Target
Conversion_Line,12.338181429983388,0.19522827938565013,6,0.00918898593961776,-0.04831814147047453
Base_Line,12.47972301690727,0.2857879585227805,55,0.06439138931575189,-0.04855549837498074
Leading_Span_A,10.70248133398583,0.1673405731460016,110,0.06010249974331133,-0.044968265247529615
Leading_Span_B,12.254804585008399,0.29287317599044993,225,0.28119525266849,-0.04812072058841821
Williams_%R,5.161185784567214,0.01759713816510855,2,0.0010581591442632575,0.03124822072672373
High_Low_Ratio,16.179868711423488,0.0,1,0.0016699136331628723,0.002751620210293737
Close_Open_Ratio,-30.525364011776396,0.0,7,0.010186904733873828,0.025530007652193376
Order_Imbalance,7.4398611112860555,0.0,5,0.0034067761182835993,0.03751106668381965
VPT,57.08230487641657,0.05532575852368882,145,0.16795569298163002,-0.10346177370250587
A/D_Line,3.84801359300348,0.0873336005119214,135,0.20406492206410035,0.02701956592659016
Support_10,12.345376816942293,0.2898338658539241,33,0.04850918559664217,-0.048281206610358396
Resistance_10,12.55171814599596,0.30926179102058393,20,0.022509927338505337,-0.04866595772061544
Support_Close_10,11.252866678151193,0.3064462706900346,19,0.02062365499620073,-0.046048992151931145
Resistance_Close_10,12.141647949355148,0.3127404819449384,29,0.1034484362636983,-0.04794153810130908
Support_20,12.360860405035908,0.29819502957628297,54,0.06323942250773011,-0.04835717814542306
Resistance_20,12.6265736061357,0.31495061292248283,51,0.05532449175114103,-0.04884851229971332
Support_Close_20,11.14341610912472,0.32464585115746614,61,0.09730299780654801,-0.045924553913792465
Resistance_Close_20,12.367111591123715,0.3052749541707309,26,0.03542482575014708,-0.0484171069236603
SMA5_Volume,14.972287277649707,0.001037364880732472,4,0.012362128381593398,-0.053173986517784044
RSI_Volatility,0.07829827425756747,0.0,12,0.009117140808444953,-0.003862671656573724
