Feature,Univariate_Score,Mutual_Info_Score,Random_Forest_Importance
%D,51.78854226831312,0.002097036171385458,0.015477323487324385
CCI,70.8282348000336,0.0,0.01538487251981514
Return_1H,-148.48737648287724,0.0018544337523638266,0.011733680415292254
Return_3H,-95.35015782787356,0.0020765332195098463,0.014712049522669487
Return_6H,62.95987645375186,0.00189802828372998,0.015608300664135759
RSI_long,40.08133411864878,0.0,0.015216004418735019
RSI_short,40.08133411864878,0.0006162825693414309,0.015205570949290842
Middle_Band,18.296888288028722,0.0071768161649208295,0.006321751580238947
Upper_Band,17.747021790725707,0.008492376898492138,0.007373612102413262
Lower_Band,18.63054699288817,0.010419862922135037,0.00731879248162443
High_Low,10.403441765107665,0.0008780209565182329,0.011406135615680064
High_Close,10.196461221782602,0.00031592778043654235,0.011674795307513993
Low_Close,0.0354180265283025,0.0010125300774923573,0.011812796675267946
True_Range,6.832668079158396,0.00012438270254078176,0.011464772795584825
ATR,11.402765282004005,0.0013315054583913355,0.017045352676161855
Volume_SMA_3,39.38760727828228,0.00013052889222531228,0.014542590809193337
Volume_SMA_6,43.114713457701725,0.0,0.01583417973577616
OBV,2.425457424950986,0.00828588591502677,0.01692349060753806
MF_Multiplier,40.93653295420978,0.0,0.013932405200589042
MF_Volume,26.607378106613552,0.0,0.014223096466363728
CMF,41.87313491341835,0.0017524639684454169,0.018416856346721678
Volatility,6.13119648582859,0.00036009529885072666,0.013874374468925699
Return,-148.48737648287724,0.002089543032355534,0.01175467422413585
Volume_change,-0.1417407745757919,0.0,0.015715624248715223
Lag_Mid_Price_1,17.59726825521778,0.002071592679089296,0.004851332273732617
Lag_Mid_Price_2,17.742082995574734,0.0009396982694569456,0.005424358648900294
Lag_Mid_Price_3,17.803631219884522,0.00177155297142928,0.005655154714003917
Lag_Mid_Price_4,18.045138156451404,0.0007050652908244803,0.005789695316691796
Lag_Return_1,261.4774638694316,0.00044193972691197736,0.0152099881365311
Lag_Return_2,216.2176797737808,0.0018234872075906239,0.01506021731054042
Lag_Return_3,-88.39898643444586,0.00013184374859398496,0.015230336132959252
Lag_Return_4,77.48307754974775,0.0010883802991468183,0.015466213943082827
Return_1,-148.48737648287724,0.0017293934697308888,0.011786131932723978
Return_5,11.887628339703564,0.001380044819355719,0.015095488960230713
Return_10,39.05916629042133,0.00267580311599791,0.01626461875168879
Rolling_Mean_5,17.740408029672682,0.0036429631068699564,0.005217623484312711
Rolling_Std_5,6.13119648582859,0.0013041731748739682,0.01397791761395158
Lagged_Volatility,6.979367366700037,0.0002799850009334026,0.015033511213759532
Hammer,0.7931112207471802,0.00019786483363315455,0.0009234492065826904
Rolling_Skew,4.860238797303609,0.0023465078817259677,0.019036591393357966
Rolling_Kurt,4.669226313494243,0.0014191383737713892,0.019166985948527632
Price_Z_Score,83.10901865618644,0.0004939148904772317,0.01490376478776026
Conversion_Line,18.025979967649413,0.06850639646356749,0.00558513088336995
Base_Line,18.173866451205537,0.09829567527631777,0.006762170923497309
Leading_Span_A,18.548860103182378,0.06505933126244434,0.009528546197414122
Leading_Span_B,18.045025972851352,0.08028611251041062,0.009532841557858324
Williams_%R,76.14924277486146,0.0034380790040577924,0.013937160419074052
High_Low_Ratio,17.252698987553483,0.000687853635253699,0.013167423860511389
Close_Open_Ratio,35.838958380874075,0.002708738581370662,0.012458742202748065
Order_Imbalance,-2.448527562379409,0.030290347917963256,0.0034722227464496873
VPT,10.066157261558333,0.010708341535749843,0.016766172036341002
A/D_Line,23.69052420691819,0.010011137388579394,0.016597803322524578
Support_10,18.21128985554915,0.03880707533265215,0.005704207538762752
Resistance_10,17.595944363338482,0.037867113711052225,0.00564721312484294
Support_Close_10,18.18590146102581,0.04365204599646044,0.005499574128054777
Resistance_Close_10,17.559257408583623,0.04411558934308579,0.00551065978159522
Support_20,18.61417775539135,0.0411169964222422,0.005954449827450581
Resistance_20,17.746934209689147,0.038512792692345865,0.0059837884691806495
Support_Close_20,18.403090476960763,0.0448810790113896,0.005812973213464768
Resistance_Close_20,17.709187037062673,0.04477976368876657,0.005895974752869879
SMA5_Volume,28.986007954906334,0.0012168843871858126,0.013063919832026653
RSI_Volatility,20.656647468548208,0.0005053661479570426,0.0145618238101614
