Feature,Univariate_Score,Mutual_Info_Score,Random_Forest_Importance
Lag_Return_1,0.5948645131375531,0.014887433348865775,0.010784389825453539
Lag_Return_2,4.137822458844166,0.007711598819213128,0.010371325317528855
Lag_Return_3,0.056939317845227544,0.011005512889314728,0.010670691126957517
Lag_Return_4,-1.107860457110762,0.005764052860550484,0.010858926291916015
Return_1,-1.358946318335354,0.004894302291988284,0.00831516280445631
Return_5,2.147911523440128,0.0025446876997550216,0.01134583338964751
Return_10,0.47524031246249265,0.011445800460951894,0.01229982131423759
Rolling_Mean_5,37.77160366348435,0.01440017127152693,0.008164060182118179
Rolling_Std_5,1.870285875017831,0.008292430088165714,0.011741683908283966
Lagged_Volatility,2.453655829395599,0.001902396870642864,0.012089888981315286
Hammer,0.023183681918446532,0.0,0.0008533479688609942
Rolling_Skew,6.477271546416696,0.006213576890508055,0.01803437519136543
Rolling_Kurt,0.24811699023777337,0.012783467518176161,0.017954690593603637
Price_Z_Score,1.0419644954040252,0.005456829380450001,0.011471958478650034
Conversion_Line,37.18511918240089,0.09831552257068443,0.0086368075743406
Base_Line,39.06999923185039,0.1275437909493491,0.011651802492109313
Leading_Span_A,40.28036352703103,0.08481738749591794,0.015641559499052476
Leading_Span_B,37.454695555423335,0.09714737297483045,0.014974378643962777
Williams_%R,0.6491820169426539,0.005235080840805262,0.011285600849542863
High_Low_Ratio,0.10495743366804891,0.00682268884371795,0.009989232483492854
Close_Open_Ratio,1.5115364828485476,0.012283288455572361,0.00906991735948836
Order_Imbalance,0.7033579137495116,0.0051179781079113695,0.008581441906614888
VPT,0.5880296449074544,0.028189333754797374,0.018328951311221805
A/D_Line,8.707597311528358,0.031002616669045135,0.017808869301258738
Support_10,35.26271733842997,0.08346810462940946,0.008786026077892539
Resistance_10,38.42273781387724,0.08572123122373765,0.008714662116899
Support_Close_10,35.65555942437321,0.09569346871439666,0.008889448168022736
Resistance_Close_10,38.25391591104056,0.09448532561383227,0.008704426490120954
Support_20,34.82335873408553,0.0775212687430229,0.009586580226646707
Resistance_20,40.0332458633145,0.08229738338550052,0.00969635766392144
Support_Close_20,34.96489372090682,0.08388841926996271,0.009114654324236386
Resistance_Close_20,39.84539157895014,0.07916874468540791,0.008948470534438565
SMA5_Volume,0.2685615473294305,0.008936504323492578,0.009713441968166514
RSI_Volatility,0.000363871006960113,0.0025892805607756753,0.011513199050149563
