hyperparameter_set,average_roc_auc,model_path,timestamp
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.4772930693244152,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_36.pkl,20241102_130055
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.5395293006695239,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_38.pkl,20241102_130102
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.5984656990662207,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_40.pkl,20241102_130108
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.4932625034418267,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_12.pkl,20241102_130119
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.45557614715719275,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_15.pkl,20241102_130125
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.4460011918477821,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_16.pkl,20241102_130132
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.46519475845868197,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_17.pkl,20241102_130138
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.46738570352402337,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_18.pkl,20241102_130144
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.46278767175103824,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_19.pkl,20241102_130150
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.5106464188283664,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_25.pkl,20241102_130157
